Fon,French
Anny na nɔ xwe gbe bo na hεn nɔvi tɔn.,Annie restera à la maison pour garder son petit frère
Avivɔsun ɖo azan gban nukun ɖokpo.,Août a 31 jours
"Ylɔ e, kεnklεεn.","Appelle-la, s'il te plaît"
Mi ni ylɔ dotoo ɔ.,Appelons le médecin !
"De e yi xo gudo, e jujɔn ayi.","Après avoir pris la parole, il se rassit"
"Azan tantɔn gbe gudo, tɔ ɔ wa hun gbavi ɔ ɖo Cesar sin nukɔn mε.","Après huit jours, le père ouvrit la malle devant César"
"Xwe nabiɖe gudo, ye mɔ yeɖee.","Après quelques années, ils se sont revus"
"E ya kpowun ɔ, e ylɔ zocitɔ lε.","Après seulement, il a appelé les pompiers"
Mi gɔn jlε ɖɔ.,Arrêtez de vous disputer
A xɔ nu kpεɖe à ?,As-tu acheté un peu ?
A mɔ nu jε mε à ?,As-tu compris ?
Xovε sin we wε à?,As-tu faim ?
Xovε sin we a alo kɔ xu wε ?,As-tu faim ou soif ?
Sinbla sin we wε a ?,As-tu soif ?
A tε kan sε do Judith à ?,As-tu téléphoné à judith ?
Asiba ylɔ vi tɔn ɖɔ Kɔku.,Asiba a appelé son enfant Koku
Asiba ɖɔ nu mi ɖɔ Kɔku na wa.,Asiba m’a dit que Koku viendra
Co hwε ɖe.,Attention
"Nu e wa kan byɔ vlafo ɔ, ɖɔ n'i ɖɔ na lε vɔ wa ɖo azangagbe.","Au cas où il demanderait, dis-lui que je reviendrai mercredi"
"Ɖo aga ɔ, xɔ atɔn ɖo finε.","Au-dessus, il y a trois chambres"
"Egbe ɔ, e kpɔn tεn n'i.","Aujourd'hui, il va mieux !"
"Egbe ɔ, e nyɔ n'i ɖebu a.","Aujourd'hui, il va plus mal !"
"E blo kεkε ɔ ɖo trolo ɔ, na ɖido.","Aussitôt le vélo réparé, je m’en irai"
"Trolo mε ɔ, e ɖido lilεlilε ɖo zogbεn gbe, e ji mε nyɔ bo se wuvε kaka bo ku.","Aussitôt, elle s'en va voltiger autour de la lampe, s'y brûle et meurt dans la douleur"
"Ɖ'ayi ɔ, hwenu ɖe zan ma nyi nuɖe se zinflu wu a ɖo sun nɔ ɔ ta ɖo ji tɔn hwenεnu a, nyɔnuvi kpεvi nɔ nɔ gle ɖe ta bo nɔ nyi Boako.","Autrefois, au temps où la nuit n'était qu'une obscurité impénétrable car la lune ne l'éclairait pas encore, une jeune fille nommée Boako vivait dans un village."
"Xoxo tɔn vo, din tɔn vo.","Autres temps, autres moeurs"
"Co e na nyi jikpamεnɔtɔ ɔ, e ko nyi mεsi nu xwe wo.","Avant d'être jardinier, il a été professeur pendant dix ans."
"D'ayi ɔ, mi ɖo lεtliki a.","Avant, nous n'avions pas l'électricité"
"Kpodo akwε enε ɔ kpo ɔ, e nɔ xɔ nuɖuɖu mitɔn kpo awu mitɔn lε kpo.","Avec cet argent, il achète notre nourriture et nos habits ?"
Kpodo atinkεn ɖe tε lε kpo ?,Avec quels médicaments ?
Etε wε e cyɔn na ?,Avec quoi est-elle couverte ?
Mi yi mε jɔhɔn hwenu e wa yi ɔ.,Avez-vous campé l'été dernier ?
Kɔ xu mi wε a ?,Avez-vous soif  ?
Kɔ xu mi wε a ?,Avons-nous soif  ?
Mε gege ɖo tɔ mε.,Beaucoup de gens se baignaient.
Vi ɔ bε zɔnlin ɖiɖi.,Bébé a commencé à marcher
Vi kpεvi ɔ ɖɔ aɖɔ ɖo avɔ tɔn mε.,Bébé a fait pipi dans ses langes.
Vi kpεvi yi wan nu wiimi.,Bébé aime la confiture
Vi kpεvi ɔ dɔ amlɔ. E nyɔ kpikpɔn.,Bébé est endormi. Ca fait plaisir de le regarder
Vi ɔ zɔnlin nukɔntɔn ɔ ɖi wε.,Bébé fait ses premiers pa.
Vi ɔ dlεn alɔ nu nɔ tɔn.,Bébé tend les bras à sa mère
Vi ɔ ɖo sisɔsisɔ ɖo afɔ tɔn lε ji wε.,Bébé tremble sur ses jambes
Ji ɖo jija wε cobɔ tɔsisa ɔ gba gle ɔ.,"Bien qu’il ne pleuve pas, la rivière inonde le champ"
"E nyɔ, mi to wema mitɔn lε bo gosin xo ɔ mε.","Bien, rangez vos cahiers et quittez la salle maintenant"
Bill ɖo xwe ɖo gleta.,Bill a une maison à la campagne
Bill ɖo kεkε kun wε.,Bill conduit une moto
Bill kpodo nyε kpo nɔ ɖɔ fongbe kpodo fransegbe kpo.,Bill et moi parlons fon et français
Bill nɔ ɖu kwε gege.,Bill gagne beaucoup d'argent
"Bill nɔ ɖɔ fransegbe, glεnsingbe kpodo italiεn kpo ganji.","Bill parle français, américain et italien couramment"
Bill jlo na da mi.,Bill veut m'épouser
Wewe kpodo wiwi kpo nɔ na fε sε.,Blanc avec noir donne gris
Boako xo pkɔn nu ceju ɖokpo a.,Boako n'eut pas une seconde d'hésitation
"Sɔ ɖagbe, etε un ka sixu blo nu we.","Bon cheval, puis-je te servir ?"
"Sɔ ɖagbe, etε un ka sixu blo nu we.","Bon cheval, ton étable est remplie de nourriture"
Nu a jlo na tuun nugbo ɔ.,"Bon, je vais vous dire ce que nous allons faire"
Nu a jlo na tuun nugbo ɔ.,"Bon, si tu veux vraiment savoir..."
"Mi ku do le hwenu, dawe.","Bonjour, monsieur"
"Nε a fɔn gbɔn lεngbɔvi, e vivi nu mi tawun ɖe a wa kpɔn mi ɔ.","Bonjour, petite chèvre, je suis heureux parce que tu viens me voir."
Brenda ɔ mεsi glεnsingbe kplɔnmεtɔ wε.,Brenda est professeur d'anglais.
Azinkposatɔ wε nyi Brian.,Brian est marchand de meubles.
E ɖo cεju atɔɔn ɖo fi.,C'est à cinq minutes d'ici
Kutɔnu yi wε Kofi ɖe.,C'est à Cotonou que Kofi est en train d'aller
"E nyɔ, nyɔnu lε sin wulεkpa sin hu do mε un ɖe.","C'est bon, j'ai seulement besoin des toilettes pour femmes"
Nuɖe un blo ɔ nε.,C'est ce que j'ai fait !
Nuɖe un nɔ blo ɔ nε.,C'est ce que je fais
"E ci sika ɖɔhun, e ka nyi sika ă","C'est comme de l'or, mais ce n'est pas de l'or"
Glelilε elɔ mε wε jomεhun ɔ nɔ jε ayi.,C'est dans ce champ qu'un avion s'est posé
E ɖo ka ɖokpo mε.,C'est dans une calebasse
Sin gan tεnwe wa yi gan tantɔn mε we.,C'est de sept heures à huit heures
E nyla bo zunkɔta ɖo ayikungban ɖagbe elɔ ji.,C'est dommage de voir un tas d'ordures dans un si beau paysage
Hun enε ɔ wutu e ma wa a.,C'est donc pour ça qu'il n'est pas venu !
Nu hwihwe ɖɔ a ɖe.,C'est drôle que tu dises ça
E kpan nukɔn xwlε ɔ.,C'est en face du panneau
"E fa, na ze xlε nu we.","C'est facile, je vais te montrer"
"Nu ma ɖi wε, e nɔ dɔ xɔ ɖokpo ɔ mε xa nɔvi ce.","C'est incroyable, c'est le camarade chambre de mon frère !"
E ɖo a jɔ aliklantεn ɔ ɖo tlolo ɔ.,C'est juste après le carrefour
Trolo mε cobɔ e na yi gleta ɔ ta ɔ.,C'est juste avant d'arriver dans le village
Ali wegɔ ɔ ɖo aɖisimε.,C'est la deuxième rue à droite
Nukɔnnukɔntɔn ɔ ɖie bo un ɖo zɔ dɔn e.,C'est la première fois que je suis loin d'elle
Ali nukɔnnukɔntɔn do amyɔ mε nyi ye ze.,C'est la première rue à gauche après le feu rouge
E lin ɖo fi wε a ?,C'est loin d'ici ?
Eyε wε na ji han ɖo xwe gbe ɔ.,C'est lui qui chantera à la fête
Nyi wε na ɖyɔ mε ɖe lε.,C'est moi qui rendrai les autres meilleurs
Kofi yi Agbomε ɖo tɔ tɔn ku.,C'est parce que son père est mort que Kofi est parti à Abomey
"Patrick wε, nε a fɔn gbɔn ?",C'est patrick. Comment ça va ?
"Adanhun wε nɔ vivi, bɔ da kpo nɔ yi ji.",C'est quand le tam-tam devient endiablé et agréable que le roi lève sa canne en signe de félicitations.
A ni na hlɔnhlɔn ta ce.,C'est que tu augmentes la puissance de ma cervelle.
Azan tεgbe wε yi egbe ?,C'est quel jour aujourd’hui ?
Sagbo ba wε un ɖe.,C'est Sagbo que je cherche.
E nyala tawun wε à ?,C'est si grave ?
E na nyi mε elɔ alo mε ɖe ɔ.,"C'est soit l'un, soit l'autre."
"Nu ma jɔ wε, mi sɔ kε mi.","C'est tout à fait impossible, désolée."
Jomεhuntεn to ta lε bi tɔn wε.,C'est un aéroport international
Cuku ɖagbe wε.,C'est un bon chien
Wemaxixa ɖagbe wε.,C'est un livre intéressant
Nu gannyii wε.,C'est un scandale.
Nukanbyɔ mε nu glwe tɔn wε.,C'est une question très indiscrète
Nukanbyɔ ɖe wε bo vε wu nu mi tawun.,C'est une question trop compliquée pour moi
"Nugbo wε, vi ce, bɔ nu koklosi nukɔntɔn ɔ wε ɖo azin nukɔntɔn ɔ mε wε blo koklosi nukɔntɔn ɔ lo ?","C'est vrai, mon enfant, mais si la première poule a pondu le premier oeuf, qui a fait la première poule ?"
Mɔ ji e nɔ azɔn mɔ kpan ɖo gbe ɖokpo.,C'était ainsi plusieurs fois par jour…
"E nyɔ zizan amɔ, hwe ɖe lε nu ɔ un nɔ wa hwenu ɖe hun ɔ o ɖido ɔ.","C'était pratique mais, parfois, j'arrivais quand le bus était déjà parti"
Zanzan ɖagbe ɖokpo we.,C'était une belle matinée
Yɔkpɔvu wε hwenenu.,C'était une enfant
Ji yiyi nabi wε ?,Ça à quelle hauteur ?
Un ɖo te kpɔn we ɖi ɔ e lin din.,Ça fait des heures que je t'attends
E si nyi gbada nu e mɔ mi ɖokpo ɔ.,Ça pourrait être très embarrassant si on nous voyait ensemble
E si nyi mɔ.,Ça se pourrait
"Enε ɔ, mi wli mi.","Ça, vous m’avez eu !"
Ɖo un ɖo afɔɖiɖe tɔn se wε ɖo 'escalier' mε.,Car j’entends ses pas dans l’escalier
Ɖo nukun tɔn lε nɔ kεn.,Car ses yeux brillent
Ayunmlimli enε mya.,Ce ballon est rouge
Atingbomε enε ɔ hwlεn do ji sin.,Ce buisson l'a protégée de la pluie
"Atinsinsεn enε ɔ jε nεgbe nu ajinanku ɖokpo, bo na do hwlεn e ɖe gan ɔ, ajinaku ɔ ta afɔ logozo ɖokpo ji.",Ce fruit sauvage tomba sur le dos d'un éléphant qui en se sauvant piétina une tortue
Yovo dokɔ elɔ si nyi ɖi hwan ɖɔhun.,Ce gâteau est dur comme un caillou
Atinsinsεn sin elɔ fa.,Ce jus de fruit est glacé
"Kinikini enε ɔ, e nɔ da hu kan we ko.","Ce lion, il pèse plus de 100 kg"
Xogbe enε ɔ lε nɔ vεwu ɖiɖɔ.,Ce mot se prononce difficilement
E sin wutu tɔn a.,Ce n'est pas de sa faute
E nyi nu ɖokpo a.,Ce n'est pas la même chose
"E kpεn ă, e fuɖa.","Ce n'est pas lourd, c'est léger"
"E nyi nyε ă, eyε wε.","Ce n'est pas moi, c'est lui !"
E nyi nu ɖokpo ɔ a.,Ce n'est pas pareil
"Un ɖe un tεnkpɔn bo ɖo ɖido wε ɔ, wε nyido a sɔ si lε vɔ wa a.","Ce que je suis en train d'essayer de dire, c'est que tu ne peux pas revenir ici"
"Nuɖe ɖo tagba ɖo nu mi tawun ɔ, nuxixa wε.","Ce qui m’intéresse le plus, c’est la lecture"
Nuɖe ɖi wa nyinyi ɔ wa nyinyi wε tεgbε.,Ce qui ressemble à l'amour est toujours de l'amour
Dan enε ɔ nyi mimɔ ɖo Paris ɖo 1996.,Ce serpent a été trouvé à Paris en 1996
Nɔ to we tɔn lε wε.,Ce sont celles de ma mère
"Vεεn ahan elɔ, e ko nyɔ nu e na nu a.",Ce vin n'est pas encore bon à boire
Vεεn elɔ ɔ fifa tɔn wε e nɔ nu.,Ce vin se boit frais
Hwetenu wε e jijɔn finε ?,Cela fait combien de temps qu'il est assis là ?
E blo gan xixo we din bo a ɖo kan tε wε.,Cela fait deux heures que tu téléphones
E vε lan mε n'i.,Cela lui a fait mal dans sa personne
E mε lan mε ni i.,Cela l’a brûlé dans son être (insulte)
Enε ɔ nɔ ɖu gan xixo dokpo nu mi d'ayi.,Cela me prenait une heure
E nɔ nyi xixɔ à.,Cela ne s’achète pas
Enε ɔ na byo we suulu kpεɖe.,Cela te demandera un peu de patience
De mi xɔ wa yi ɖo sun ɖe ɔ mε lε ɔ nyɔ ganji.,Celles que nous avons achetées le mois dernier étaient parfaites
Mε enε ɔ lε yi logozo ɔ gɔn bo kan byɔ ye ɖɔ,Celles-ci allèrent chez la tortue pour lui demander ce qui suit
Mε enε ɔ lε yi logozo ɔ gɔn bo kan byɔ ye ɖɔ,Celles-ci allèrent chez la tortue pour lui demander pourquoi elle avait mis le feu à leur brousse
Mε ɖe a ze ɔ jlo mi a.,Celui que tu as choisi ne me plaît pas
Hwe cobɔ ye nɔ ɖi xεsi nu ajo ă.,Cependant ils ne craignent pas la rapine (vol)
A mɔ xwe gban nukun we.,"Cependant, j'ai 32 ans"
Mε ɖe le ɖɔ ɖɔ gbε ɔ ɖo awovi sin nu jlεjlε mε.,Certaines personnes disent que le monde est en danger
"Gbɔ ɖe lε nɔ ɖo zo, ɖe lε nɔ ɖo a.","Certains moutons ont des cornes, d'autres n'en ont pas"
Xεvi ɖe lε nɔ ɖu hwevi mu.,Certains oiseaux mangent du poisson cru
Choux' enε ɔ lε klo bo ɖiɖi wu.,Ces choux sont gros et pommés
Amaga enε ɔ lε ko mya ganji bo na nyi ɖuɖu din a.,Ces mangues ne sont pas assez mûrs pour être mangés maintenant
Agban enε ɔ lε nyi bibε yi gbɔn tɔjihun mε.,Ces marchandises furent transportés en bateau
Avɔvi enε ɔ lε ɖo kiko.,Ces mouchoirs sont brodés
Hwevi tɔ wε nyi tɔ enε ɔ lε.,Ces rivières sont poissonneuses
Dan enε ɔ lε na nyi sisa a.,Ces serpents ne seront pas vendus
Cesar nɔ ɖo gbε gblegble ɖ'ayi.,César fréquentait de mauvais camarades
Cesar nu a ma hɔn nu gbε gblegble ɔ ɖo a o.,"César, si tu ne fuis pas les mauvais camarades"
"Gbɔ avi ya, xɔntɔn ce, jo mi ɖɔ ma go alɔ nu we.","Cesse de gémir, cher ami, laisse-moi faire"
Mi gɔn hwe do mi ɖe.,Cessez de vous accuser l'un l'autre
"Wanyiyi ɖaxo e nε ɔ, kikɔn e nε towe wε, ce wε.","Cet amour tout entier, si vivant et tout ensoleillé, c'est le tien, c'est le mien"
Nuwanyi ɖo enε ɔ awovi wε.,Cette erreur n'est qu'un accident
"Xwe enε ɔ, xwe ɖe ɖo ɖe ji atɔn wε e ɖo.",Cette maison a trois étages
"Ɖo zan enε ɔ mε ɔ, gletanu lε ɖu ɖo ahwan ji.","Cette nuit, les villageois emportèrent une victoire retentissante."
Atin enε ɔ yi wan nu yεtεn.,Cette plante aime l’ombre
Rɔbu enε ɔ nɔ nyɔ ɖεkpε.,Cette robe est jolie
Dan enε ɔ sin nyi zize yi kpodo jɔhɔnmεhun kpo a.,Cette vipère ne peut pas être transportée par avion.
Glexwe tɔn lε na wa ɖo zan ɖe.,Ceux de Ouidah arriveront plus tard
Mε nukɔnnukɔntɔn lε hεn ɔ ye na ci te.,Ceux du premier rang peuvent se lever.
Cuku ɖokpoɖokpo ɖo kɔnu tɔn.,Chaque chien a un collier
fais un effort. Cela me fait du bien.,"Chaque jour, je dis "
Tɔ ce nɔ xa xojlawema lε azan ɖokpoɖokpo.,"Chaque jour, mon père lit les journaux"
"Zanzan tεgbε ɔ, un nɔ yi azɔmε.","Chaque matin, je vais au lieu de travail"
"Zanzan tεgbε, un nɔ yi azɔmε.","Chaque matin, je vais au travail"
"Zanmε tεgbε ɔ, xεvi ɔ nɔ ji han.","Chaque nuit, l'oiseau chante"
Salada ɖo kpɔ kpɔn enε wε.,Chaque salade coûte 100 f
"Gbadanu tεgbε ɔ, e nɔ ɖɔ hwenuxo nu vi lε bo nɔ yi zan ji.","Chaque soir, il raconte une histoire aux enfants et puis il va au lit"
"Gbadanu tεgbε ɔ, Noah tuun ɖɔ e nɔ cε emi.","Chaque soir, Noah savait qu'il était guetté"
Cheryl ɔ devi wε e nyi ɖo nuɖutεn tuwuntuwun ɖokpo.,Cheryl est serveuse dans un restaurant bien connu
"Nyε gɔn ɔ, jɔhɔn gbε jεn un nɔ se.","Chez moi, je n'entends que le bruit du vent"
Kpɔn ko we nyi go kpo e vaxi din.,"Cinq cents francs le litre, c'est trop cher pour moi"
Nabi wε e sin wu su bo kpɔn azizɔnnɔ ?,Combien coûte une consultation ?
Kwε nabi e nɔ su ?,Combien d'argent paie-t'on ?
Azɔxɔ nabi wε e ɖo ?,Combien de classes compte-t-elle ?
Wemaxixa nabi e wlan ?,Combien de livres a-t-il écrit ?
Mi mε nabi wε ɖo xwe mitɔn gbe ?,Combien êtes-vous à la maison?
Nabi wε nɔvi towe Bob nɔ da ?,Combien pèse ton frère bob ?
"Nabi a nɔ da azan elɔ lε, tɔ ce.","Combien tu pèses ces jours-ci, papa ?"
De e ɖo hwεjijɔ gbɔn ɔ !,Comme il a raison !
Lee mi nɔ sɔ kε nɔvi mitɔn lε.,Comme nous pardonnons à nos frères
"Ee tɔ tɔn ku ɔ, Kofi yi Agbomε.","Comme son père est mort, Kofi est parti à Abomey."
"Dee a su gbɔn ɔ, un sɔ tuun we a.",Comme tu as grandi ! Je ne t'ai pas reconnu
Dee a bi gbɔn ɔ.,Comme tu es malin !
Nε gbɔn ? Jɔhɔn lε ɖo mi sin wε a ?,Comment ? Vous avez encore froid ?
Nε mi ɖe gbɔn ?,Comment allez-vous ?
Nε mi d’amlɔ gbɔn ?,Comment avez-vous dormi ?
Nε ye nɔ wlan gbɔn?,Comment ça s’écrit ?
Nε ye nɔ ylɔ gbɔn ɖo fɔngbe mε ?,Comment dit-on en fon ?
Nε e nɔ ɖɔ 'livre' ɖo fɔngbe mε gbɔn ?,Comment dit-on « livre » en fon ?
Nε nuɖuɖu ɔ ɖe gbɔn ?,Comment est le repas ?
Nε gbe ɔ mε ɖe gbɔn egbe ?,Comment est le temps aujourd’hui ?
Nε mi nɔ gosin dɔn gbɔn xwe ɖokpoɖokpo mε ?,Comment est-ce que vous descendez là-bas chaque année ?
Nε mi nɔ blo yovo dokɔ ɖagbeɖagbe lε gbɔn ?,Comment fais-tu de si bons gâteaux ?
Nε a nɔ blo nuɖuɖu ɖagbe gbɔn ?,Comment fais-tu de si bons plats ?
Nε ye nɔ ylɔ do ?,Comment on appelle ça ?
Nε gbe ɔ mε na nɔ gbɔn sɔ ?,Comment se passent vos vacances ?
Nε gbe ɔ mε na nɔ gbɔn sɔ ?,Comment sera le temps demain ?
Nε e nɔ w'azɔ gbɔn ?,Comment travaille-t-il ?
Nε wε azinzɔnnɔ ɔ ka ɖe ?,Comment va donc le malade ?
Nε mε towe lε fɔn gbɔn ?,Comment va la famille ?
Nε na d’amlɔ gbɔn ?,Comment vais-je dormir ?
Nε aji lε ɖo yiyi gbɔn wε ?,Comment vont les affaires ?
Nε asi towe kpodo vi towe lε kpo fɔn gbɔn ?,Comment vont ta femme et tes enfants ?
E vivi nu mi ɖee un vɔ mɔ we ɔ.,Content de te revoir
Mi yi tlele kaka yi fi ɖe ye nɔ blo wɔxuxu ɖe ɔ.,Continuez tout droit jusqu'à la boulangerie
"Kutɔnu nyi toxo ɖaxo, amɔ Glexwe nyi toxo kpεvi.","Cotonou est une grande ville, mais Ouida est une petite ville"
Kutɔnu yi wε Kofi ɖe.,C’est à Cotonou que Kofi est en train d’aller
Mε wε jlo na xo ?,C’est à qui de jouer ?
Mitɔn wε nyi mɔto enε ɔ a ?,C’est à vous cette voiture ?
Wema ɖokpo mε wε un xa hwenuxo enε ɔ lε ɖe.,C’est dans un livre que j’ai lu ces histoires
Mε tantɔn si nɔ mɔto enε ɔ mε a.,C’est impossible d’être à huit dans cette voiture
Nukɔnnukɔntɔn ɔ wε un wa fi.,C’est la première fois que je viens
Cuku ɖe ɖo wezun kan ɖo koklo lε gudo wε.,C’est le chien qui court après les poules
Cuku ɖe tun kan ɔ wε.,C’est le chien qui est détaché
Azan elɔ gbe e wli alɔ.,C’est le jour où il s’est marié
Mama wε e na vivi na.,C’est maman qui sera contente
E ɖibla nyi gleta.,C’est presque un village
Bayi wa wε Kɔku ɖi.,C’est que bayi est venu que koku croit.
Vi kpεvi ɖe wε gble wu eye ɖe.,C’est un enfant qui s’est blessé
Wuvε ɖaxo wε nyi n'ε.,C’est un grand malheur pour elle
"E nyɔ, amɔ a ɖona ɖɔ.","D'accord, mais tu dois lui dire"
"E nyɔ, amɔ a ɖona ɖɔ nεɖɔnεɖɔ afɔgwede ce lili tε.","D'accord, mais tu dois lui dire d'arrêter de repasser mes chaussettes !"
Fitεnu wε nu we ?,D'où es-tu ?
Fitε azin nukɔntɔn ɔ gosin ?,D'où est venu le premier oeuf ?
"Do azɔmε ɔ, tabilo gege ɖe mε.","Dans la classe, il y a plusieurs tableaux"
"Ɖo kɔxota ɔ, e nɔ da ayihun gege.",Dans la cour il joue beaucoup
Azɔmεvi lε ɖo azɔ hɔ mε.,"Dans la salle de classe, il y a des élèves"
Folo ɖagbe lε ɖo jikpamε ɔ mε.,"Dans le jardin, il y a des fleurs magnifiques"
"Gle lε ɖe tɔ gba lε ɔ, nukun lε na gble.","Dans les champs inondés, la récolte sera mauvaise"
"Do hεnnu ɖaxo lε mε ɔ, mε bi tuuntuun nɔ vε wu.","Dans les grandes familles, il est difficile de connaître tout le monde"
"Ɖo ganzεn kpεvi mε ɔ, un hεn sinsin ɖo sin zozo litli ɖokpo mε.","Dans une casserole, je la fais fondre dans 1 litre d'eau chaude"
"Do ganxixovlɔ mε ɔ, mi na mɔ ɖo xɔntɔn kpεɖe ji kpo nu mi.","Dans une demi-heure, vous serez convaincu qu'il vous reste quelques amis"
Un kɔn ami ɖo nu ɖa gannu ɖaxo mε bo ze ɖo ado ji.,"Dans une grande cocotte, je mets l'huile à chauffer"
Ji sin ɖaxoɖaxo ɖo ayi jε wε sin ji.,De grosses gouttes de pluie tombent des nuages
Akɔ tε wε nu we ?,De quel clan es-tu ?
Etε sin hu do a ɖo ?,De quoi as-tu besoin ?
Woosun ɖo azan gban nukun ɖokpo.,Décembre a 31 jours
Ze gbeta ɖokpo.,Décide-toi !
Sɔ lɔ Mawu sin alɔ mε.,Demain est dans la main de Dieu
"Sɔ zanzan, gan ayizεn mε.","Demain matin, à six heures"
Mi ni kan byɔ e.,Demandons-lui
"Yawu, Jane, mi gbɔ hwenu.","Dépêche-toi, Jane, nous sommes en retard !"
"Sin hwenεnu ɔ, nukunmε tita Boako nɔ tɔn zan mε tεgbε ɖo sεxwe.","Depuis ce temps, la face étincelante de la petite Boako apparaît chaque nuit dans le ciel"
Sin hwetenu mi ɖo e nε ɔ blo wε ?,Depuis combien de temps faites-vous cela ?
"Sin hwenuɖe un gosin wemaxɔmε ɔ, xwe tεnnε ɖie.","Depuis que j'ai quitté l'université, il y a neuf ans"
"Sin hweɖenu din ɔ, ji nɔ ja.","Depuis quelque temps, il pleut"
"Sin hwenenu ɔ, e nɔ gbeta tɔn ji.","Depuis, il est resté fidèle à sa promesse"
Hunto ɖe lε ɖo wuwu wε ɖo atin ɖokpo ɖokpo sin afɔ.,Des champignons poussent au pied de chaque arbre
